Name;Alternate name;Constellation;Type;RA;Dec;NGC/IC name;Magnitude
M1;Crab Nebula;Taurus;Supernova remnant;05h 34m 31.94s;22° 00′ 52.2″;NGC 1952;8.4
M2;;Aquarius;Globular cluster;21h 33m 27.02s;−00° 49′ 23.7″;NGC 7089;6.5
M3;;Canes Venatici;Globular cluster;13h 42m 11.62s;28° 22′ 38.2″;NGC 5272;6.2
M4;Spider Globular Cluster;Scorpius;Globular cluster;16h 23m 35.22s;−26° 31′ 32.7″;NGC 6121;5.6
M5;Rose Cluster;Serpens;Globular cluster;15h 18m 33.22s;02° 04′ 51.7″;NGC 5904;5.6
M6;Butterfly Cluster;Scorpius;Open cluster;17h 40.1m;−32° 13′;NGC 6405;4.2
M7;Ptolemy's Cluster;Scorpius;Open cluster;17h 53m 51.2s;−34° 47′ 34″;NGC 6475;3.3
M8;Lagoon Nebula;Sagittarius;Nebula;18h 03m 37s;−24° 23′ 12″;NGC 6523;4.6
M9;;Ophiuchus;Globular cluster;17h 19m 11.78s;−18° 30′ 58.5″;NGC 6333;7.7
M10;;Ophiuchus;Globular cluster;16h 57m 8.92s;−04° 05′ 58.07″;NGC 6254;6.6
M11;Wild Duck Cluster;Scutum;Open cluster;18h 51.1m;−06° 16′;NGC 6705;5.8
M12;;Ophiuchus;Globular cluster;16h 47m 14.18s;−01° 56′ 54.7″;NGC 6218;6.7
M13;Great Hercules Cluster;Hercules;Globular cluster;16h 41m 41.24s;36° 27′ 35.5″;NGC 6205;5.8
M14;;Ophiuchus;Globular cluster;17h 37m 36.15s;−03° 14′ 45.3″;NGC 6402;7.6
M15;Great Pegasus Cluster;Pegasus;Globular cluster;21h 29m 58.33s;12° 10′ 01.2″;NGC 7078;6.2
M16;Eagle Nebula;Serpens;Nebula;18h 18m 48s;−13° 49′;"	NGC 6611";6.4
M17;Omega Nebula;Sagittarius;Nebula;18h 20m 26s;−16° 10′ 36″;NGC 6618;6
M18;Black Swan Cluster;Sagittarius;Open cluster;18h 19.9m;17° 08′;NGC 6613;7.5
M19;;Ophiuchus;Globular cluster;17h 02m 37.69s;−26° 16′ 04.6″;"	NGC 6273";6.8
M20;Trifid Nebula;Sagittarius;Nebula;18h 02m 23s;−23° 01′ 48″;NGC 6514;6.3
M21;Webb's Cross Cluster;Sagittarius;Open cluster;18h 04.6m;−22° 30′;NGC 6531;6.5
M22;Great Sagittarius Cluster;Sagittarius;Globular cluster;18h 36m 23.94s;−23° 54′ 17.1″;NGC 6656;5.1
M23;;Sagittarius;Open cluster;17h 56.8m;−19° 01′;NGC 6494;5.5
M24;Small Sagittarius Star Cloud;Sagittarius;Star cloud;18h 17m;−18° 33′;IC 4715;2.5
M25;;Sagittarius;Open cluster;18h 31.6m;−19° 15′;IC 4725;4.6
M26;;Scutum;Open cluster;18h 45.2m;−09° 24′;NGC 6694;8
M27;Dumbbell Nebula;Vulpecula;Planetary nebula;19h 59m 36.340s;22° 43′ 16.09″;NGC 6853;7.4
M28;;Sagittarius;Globular cluster;18h 24m 32.89s;−24° 52′ 11.4″;NGC 6626;6.8
